Season,Team,TotalPoints,HomePoints,AwayPoints,TotalGoalsScored,HomeGoalsScored,AwayGoalsScored,TotalGoalsConceded,HomeGoalsConceded,AwayGoalsConceded,GoalDifference,TotalShots,TotalShotsOnTarget,TotalCorners,TotalFouls,TotalYellowCards,TotalRedCards,TransferBudget,ManagerName,ManagerWinPercentage,IsWinner,TeamWinPercentage,TeamWins
2023/24,Nott'm Forest,36,20,16,49,27,22,67,30,37,-18,451,148,148,428,75,3,70,Nuno Espírito Santo,47.2,0,23.7,9
2023/24,Luton,26,16,10,52,28,24,85,37,48,-33,431,141,204,443,71,0,30,Rob Edwards,44.8,0,15.8,6
2023/24,Burnley,24,10,14,41,19,22,78,43,35,-37,433,142,181,427,71,7,50,Vincent Kompany,54,0,13.2,5
2023/24,Sheffield United,16,10,6,35,19,16,104,57,47,-69,368,129,142,423,93,5,35,Chris Wilder,47.3,0,7.9,3
2025/26,Liverpool,,,,,,,,,,,,,,,,,442,Arne Slot,58,,,
2025/26,Arsenal,,,,,,,,,,,,,,,,,267,Mikel Arteta,59.3,,,
2025/26,Chelsea,,,,,,,,,,,,,,,,,296.5,Enzo Maresca,55,,,
2025/26,Newcastle United,,,,,,,,,,,,,,,,,265.3,Eddie Howe,41.9,,,
2025/26,Man United,,,,,,,,,,,,,,,,,232.4,Ruben Amorim,65,,,
2025/26,Nott'm Forest,,,,,,,,,,,,,,,,,205,Ange Postecoglou,60.5,,,
2025/26,Man City,,,,,,,,,,,,,,,,,179.4,Pep Guardiola,71.6,,,
2025/26,Tottenham Hotspur,,,,,,,,,,,,,,,,,181,Thomas Frank,45,,,
2025/26,Sunderland,,,,,,,,,,,,,,,,,162,Régis Le Bris,45,,,
2025/26,Bournemouth,,,,,,,,,,,,,,,,,134,Andoni Iraola,39.2,,,
2025/26,West Ham United,,,,,,,,,,,,,,,,,127.2,Nuno Espirito Santo,47.5,,,
2025/26,Everton,,,,,,,,,,,,,,,,,122,David Moyes,43,,,
2025/26,Wolves,,,,,,,,,,,,,,,,,122.8,Vitor Pereira,50.5,,,
2025/26,Burnley,,,,,,,,,,,,,,,,,107.8,Scott Parker,44.5,,,
2025/26,Leeds United,,,,,,,,,,,,,,,,,100.1,Daniel Farke,47,,,
2025/26,Brentford,,,,,,,,,,,,,,,,,84.5,Keith Andrews,0,,,
2025/26,Brighton,,,,,,,,,,,,,,,,,67.75,Fabian Hürzeler,0,,,
2025/26,Crystal Palace,,,,,,,,,,,,,,,,,45.5,Oliver Glasner,48,,,
2025/26,Aston Villa,,,,,,,,,,,,,,,,,34.5,Unai Emery,51.5,,,
2025/26,Fulham,,,,,,,,,,,,,,,,,34.5,Marco Silva,49,,,
